번호,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지전화,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y),,
11,2,휴업,2,휴업,,2023-07-01,2024-06-30,031-530-9100,487-913,경기도 포천시 신북면 삼성당리 459-1,경기도 포천시 신북면 포천로2414번길 24,11136,아도니스 수영장,217087.3584,495840.7265,,
12,2,휴업,2,휴업,,2020-05-29,2020-12-31,033-635-5800,217-070,강원특별자치도 속초시 노학동 746-96,강원특별자치도 속초시 관광로408번길 14 (노학동),24859,설악파인콘도미니엄수영장,334748.677,522552.478,,
13,2,휴업,2,휴업,,2023-06-22,2025-06-20,638-8400,217-100,강원특별자치도 속초시 대포동 245-5,강원특별자치도 속초시 동해대로 3705 (대포동),24902,호텔마레몬스 옥외수영장,340676.6444,519441.6214,,
14,2,휴업,2,휴업,,2006-04-01,2010-12-31,033-681-5030,219-804,강원특별자치도 고성군 간성읍 흘리 1통,,,알프스리조트실내수영장,,,,
15,2,휴업,2,휴업,,2024-07-04,2027-10-01,,,강원특별자치도 고성군 토성면 원암리 362-1,강원특별자치도 고성군 토성면 고성대로 75-16,24768,아이파크콘도 수영장,331792.6033,524101.0343,,
16,2,휴업,2,휴업,,2017-10-25,2018-05-30,055-673-4994,,,경상남도 고성군 삼산면 두포5길 113-109,52959,블루웨일 빌리지,318732.4766,159178.926,,
17,2,휴업,2,휴업,,2021-03-14,2026-03-13,061-808-8000,,전라남도 여수시 둔덕동 산 134-1,"전라남도 여수시 좌수영로 641 (둔덕동, (주)여수관광레저)",59635,(주)여수관광레저,263300.377,142492.6124,,
18,2,휴업,2,휴업,,,,,412-030,경기도 고양시 덕양구 원당동 198-114번지,경기도 고양시 덕양구 고양대로1643번길 164 (원당동),,주식회사 한양컨트리클럽,187096.0751,461590.5265,,
19,2,휴업,2,휴업,,2024-01-01,2024-06-30,064-739-1930,,제주특별자치도 서귀포시 법환동 914,"제주특별자치도 서귀포시 월드컵로 31 (법환동, 아쿠아랜드)",63572,아쿠아랜드,154166.1303,-27615.18997,,
20,2,휴업,2,휴업,,2014-01-06,2017-01-05,670-1000,215-814,강원특별자치도 양양군 서면 오색리 511,,,오색그린야드호텔 수영장,326960.9753,509635.5321,,
21,2,휴업,2,휴업,,2007-07-01,2008-06-30,,668-873,경상남도 남해군 서면 서상리 1169번지,경상남도 남해군 서면 남서대로1517번길 50,,해안관광해수수영장,276477.5579,145116.1194,,
22,2,휴업,2,휴업,,2009-09-07,2010-07-09,,668-873,경상남도 남해군 서면 서상리 1169번지,경상남도 남해군 서면 남서대로1517번길 50,,해안관광해수수영장,276477.5579,145116.1194,,
23,2,휴업,2,휴업,,2021-01-01,2021-12-31,,,경상남도 남해군 삼동면 동천리 1128,,,동천물놀이장,294557.4217,146029.481,,
24,2,휴업,2,휴업,,2008-07-01,2010-06-30,536-9870,635-891,경상남도 창녕군 부곡면 거문리 203-10번지,경상남도 창녕군 부곡면 온천로 594,,일성부곡콘도미니엄수영장,344110.8557,216373.6961,,
25,2,휴업,2,휴업,,2005-08-05,2007-06-30,937-6612,417-833,인천광역시 강화군 불은면 삼성리 산 140번지,,,삼성수영장,,,,
26,2,휴업,2,휴업,,2021-08-25,2022-05-30,032-932-3833,,인천광역시 강화군 강화읍 국화리 344-1,인천광역시 강화군 강화읍 고비고개로 171,23028,산들애캠핑수영장,152286.6201,471153.3566,,
27,2,휴업,2,휴업,,2020-08-01,2022-09-30,032-560-9593,,인천광역시 서구 백석동 58 수도권매립지공사 21동,"인천광역시 서구 거월로 61, 수도권매립지공사 21동 (백석동)",22688,드림파크 스포츠센터,,,,
28,2,휴업,2,휴업,,2022-03-24,2027-03-23,,,경기도 광주시 곤지암읍 곤지암리 26-1,경기도 광주시 곤지암읍 경충대로 451,12812,중부수영장,231413.2634,426069.6699,,
29,2,휴업,2,휴업,,2008-10-31,2009-12-31,574-0008,472-833,경기도 남양주시 진건읍 용정리 778-9번지,경기도 남양주시 진건읍 진건오남로 71,,수정스포트센터,215624.213,461641.5446,,
30,2,휴업,2,휴업,,2010-09-01,2011-08-31,,472-848,경기도 남양주시 화도읍 창현리 551-1번지,경기도 남양주시 화도읍 창현로 33,472-848,웰스포 스포츠센터,226963.5802,460670.5826,,
31,2,휴업,2,휴업,,2020-10-20,2021-05-31,02-899-3382,,경기도 광명시 소하동 1267 광명시여성비전센터,"경기도 광명시 오리로366번길 6, 광명시여성비전센터 (소하동)",14327,광명시여성비전센터 수영장,189326.8187,436974.6349,,
32,2,휴업,2,휴업,,2022-08-04,2022-12-31,727-4680,,경기도 성남시 분당구 정자동 206 한국통신사옥 지하2층,"경기도 성남시 분당구 불정로 90, 지하2층 (정자동, KT본사)",13606,(재)케이티그룹희망나눔재단 KT스포츠센터,210101.9492,428543.9071,,
33,2,휴업,2,휴업,,2023-06-30,2024-06-29,,,제주특별자치도 서귀포시 성산읍 고성리 1201 디아일랜드 마리나 호텔,"제주특별자치도 서귀포시 성산읍 고성오조로 94, 디아일랜드 마리나 호텔",63639,블루라곤 실내수영장,191979.0378,-4921.826108,,
34,2,휴업,2,휴업,,2022-01-01,2025-02-28,3019-8132,137-825,서울특별시 서초구 방배동 630,서울특별시 서초구 남부순환로 2248 (방배동),,서울특별시교육청 교육연수원,199693.07,441141.6101,,
35,2,휴업,2,휴업,,2018-05-28,2021-05-27,352-7151,445-965,경기도 화성시 정남면 괘랑리 산 60-47,,,라비돌수영장,,,,
36,2,휴업,2,휴업,,2023-06-26,2024-06-25,032-545-3700,407-050,인천광역시 계양구 계산동 산 55-1,인천광역시 계양구 경명대로972번길 18 (계산동),,계산수영장,174449.9018,449155.4099,,
37,2,휴업,2,휴업,,2002-07-01,,032-548-4232,407-805,인천광역시 계양구 계산동 926-27번지 지하3층,인천광역시 계양구 하느재로 14 (계산동),407-805,새나드리프라자수영장,175658.2683,449209.1495,,
38,2,휴업,2,휴업,,2013-01-01,2013-12-31,063)466-6277,573-872,전북특별자치도 군산시 나운동 866-1,전북특별자치도 군산시 부곡1길 39  (나운동),,파라디수영장,171891.3344,273322.5025,,
39,2,휴업,2,휴업,,1997-07-14,1998-07-15,,570-996,전북특별자치도 익산시 팔봉동 58-3,,,팔봉수영장,,,,
40,2,휴업,2,휴업,,2005-02-22,2005-06-22,277-8001-3,680-806,울산광역시 남구 무거동 299-10번지,울산광역시 남구 북부순환도로 17  (무거동),,남운스포렉스,405350.0267,230358.1365,,
41,2,휴업,2,휴업,,2021-01-19,2023-12-31,230-2181,682-808,울산광역시 동구 서부동 257-44,울산광역시 동구 방어진순환도로 995-2 (서부동),44025,서부회관수영장,420434.8668,228254.1727,,
42,2,휴업,2,휴업,,,,,376-852,충청북도 보은군 마로면 임곡리 386-27번지,충청북도 보은군 마로면 임곡길 66-80,28964,서당골관광농원,277207.6871,325803.5691,,
43,2,휴업,2,휴업,,1998-08-24,1999-07-01,900-8181,142-090,서울특별시 강북구 우이동 산 196-197번지,,,(주)호텔그린파크수영장,,,,
44,2,휴업,2,휴업,,2014-08-08,2015-08-08,287-5757,361-822,충청북도 청주시 서원구 분평동 343-23번지 6층,"충청북도 청주시 서원구 청남로2005번길 100  (분평동,6층)",,청주온천스파피아수영장,242786.536,345504.1554,,
45,2,휴업,2,휴업,,2023-02-14,2024-02-28,032-677-1177,,경기도 부천시 오정구 고강동 369,경기도 부천시 오정구 고리울로 9 (고강동),14408,파라디스포츠,183760.2282,447328.4238,,
46,2,휴업,2,휴업,,2021-08-02,2022-08-01,041-544-2155,336-812,충청남도 아산시 염치읍 동정리 4-1,충청남도 아산시 염치읍 충무로 547,,(주)훼미리랜드,200765.7578,369534.4096,,
47,2,휴업,2,휴업,,2022-05-01,2023-12-31,537-3913,336-070,충청남도 아산시 방축동 22-5,충청남도 아산시 신정로 685 (방축동),,아산시실내수영장,198569.2858,364138.8127,,
48,2,휴업,2,휴업,,2020-02-01,2021-11-30,041--956-0367,325-813,충청남도 서천군 마서면 도삼리 71-10,충청남도 서천군 마서면 장산로855번길 20,,드림월드수영장,176103.9814,280023.4647,,
49,2,휴업,2,휴업,,2019-01-01,2022-06-30,953-4888,325-814,충청남도 서천군 마서면 덕암리 527-2,충청남도 서천군 마서면 장서로 524,33655,덕암스파,173508.2184,283081.0277,,
50,2,휴업,2,휴업,,2017-12-13,2018-12-13,,314-891,충청남도 공주시 유구읍 구계리 1-4번지,충청남도 공주시 유구읍 유구마곡사로 578,32520,석수풀장,199557.0935,340770.3784,,
51,2,휴업,2,휴업,,1998-07-31,2000-07-31,731-4390,373-809,충청북도 옥천군 옥천읍 삼양리 222-375번지,충청북도 옥천군 옥천읍 삼양로 85,,세림스포츠센타,251030.2282,311606.4101,,
52,2,휴업,2,휴업,,2012-07-19,2012-10-30,,467-866,경기도 이천시 부발읍 아미리 4-2번지,경기도 이천시 부발읍 황무로1756번길 46,,청암관광농원수영장,245631.0423,418484.5659,,
53,2,휴업,2,휴업,,2023-10-10,2025-12-31,,,경기도 이천시 안흥동 408-1,경기도 이천시 중리천로115번길 45 (안흥동),17372,대지개발(주) 미란다호텔지점,239936.874,419420.2908,,
54,2,휴업,2,휴업,,2023-05-25,2023-12-31,031-826-0081,482-813,경기도 양주시 장흥면 삼상리 130-1,경기도 양주시 장흥면 유원지로 25-14,11524,죠이 타운,194002.2591,466092.0242,,
55,2,휴업,2,휴업,,2023-05-25,2023-12-31,031-855-3888,482-812,경기도 양주시 장흥면 일영리 44-6,경기도 양주시 장흥면 권율로 112,11520,뉴파라다이스풀장,195473.2846,469081.9892,,
56,2,휴업,2,휴업,,2023-01-01,2023-12-31,031-828-9772,482-050,경기도 양주시 덕계동 755-2,경기도 양주시 평화로1475번길 623 (덕계동),11441,양주시청소년수련관수영장,202589.2108,479539.8746,,
57,2,휴업,2,휴업,,2023-05-25,2023-12-31,031-826-1012,482-812,경기도 양주시 장흥면 부곡리 183,경기도 양주시 장흥면 가마골로 201,11521,송추워터피아,197864.2136,470387.1124,,
58,2,휴업,2,휴업,,2019-04-15,2020-12-31,886-8100,469-832,경기도 여주시 금사면 하호리 345번지,,,이포리조트수영장,244472.305,432656.3498,,
59,2,휴업,2,휴업,,2022-12-16,2023-12-16,031-338-2001,449-821,경기도 용인시 처인구 양지면 남곡리 47-2,경기도 용인시 처인구 양지면 남평로 112,17164,(주)양지리조트수영장(실외),226303.96,413049.4783,,
60,2,휴업,2,휴업,,2023-07-16,2025-07-16,031-338-2001,449-821,경기도 용인시 처인구 양지면 남곡리 18-1,경기도 용인시 처인구 양지면 남평로 112,17164,스포렉스(양지리조트실내수영장),226308.2753,412120.9248,,
61,2,휴업,2,휴업,,2020-07-01,2021-06-30,031-336-0504,449-833,경기도 용인시 처인구 이동읍 묵리 427-1,경기도 용인시 처인구 이동읍 이원로 495,17132,용인레저(실외),221263.8116,407295.0182,,
62,2,휴업,2,휴업,,2022-12-12,2023-06-30,031-328-9871,,경기도 용인시 처인구 양지면 평창리 661-11,경기도 용인시 처인구 양지면 죽양대로2071번길 50 (용인청소년수련원),17163,용인시청소년수련원 수영장(용인시 청소년 미래재단 위탁),227730.8848,412621.7058,,
63,2,휴업,2,휴업,,2012-07-06,2014-07-05,031)955-5152,413-832,경기도 파주시 문발동 503-1번지 달관동 지층9호,"경기도 파주시 문발로 234  (문발동,달관동 지층9호)",,해피아리조트,172440.2962,468107.1697,,
64,2,휴업,2,휴업,,2018-01-26,2018-06-30,,,경상남도 하동군 옥종면 정수리 34번지 옥종불소유황천,"경상남도 하동군 옥종면 세종태실로 573, 옥종불소유황천",52315,옥종유황수영장,281219.4513,184583.6693,,
65,2,휴업,2,휴업,,2023-01-01,2023-12-31,,,대전광역시 유성구 지족동 863-1,"대전광역시 유성구 노은동로240번길 56, 1층 (지족동)",34078,아쿠아 차일드,228687.1304,320281.1948,,
66,3,폐업,3,폐업,2022-05-10,,,053-793-6452,,대구광역시 동구 동호동 107-13,"대구광역시 동구 경안로 722, B1층 (동호동)",41078,월드스포츠스쿨 아쿠아센터,354740.3503,264308.4714,,
67,3,폐업,3,폐업,2015-01-12,,,,703-815,대구광역시 서구 비산동 475-2번지,대구광역시 서구 문화로 322 (비산동),703-815,나인스포츠,341510.8626,265077.8498,,
68,3,폐업,3,폐업,2017-05-24,,,053-522-7845,703-815,대구광역시 서구 비산동 475-2번지,"대구광역시 서구 문화로 322, 5층 (비산동)",41789,엠스포짐,341510.8626,265077.8498,,
69,3,폐업,3,폐업,2021-02-23,,,,,대구광역시 서구 평리동 1070-7 평리중학교,"대구광역시 서구 국채보상로55길 21, 평리스포츠센터동 지상1층 (평리동)",41775,코오롱글로벌(주)스포렉스 대구점,340906.3888,264885.8866,,
70,3,폐업,3,폐업,2003-12-11,,,861-8841,305-340,대전광역시 유성구 도룡동 394-4번지,대전광역시 유성구 대덕대로 581  (도룡동),,대덕전문연구단지관리본부수영장,233849.8068,320512.3998,,
71,3,폐업,3,폐업,2012-06-22,,,862-4000,305-340,대전광역시 유성구 도룡동 3-1번지,"대전광역시 유성구 대덕대로 480 (도룡동, 꿈돌이랜드수영장)",305-733,꿈돌이랜드수영장(실외),234414.0079,319679.5356,,
72,3,폐업,3,폐업,2007-12-17,,,042-626-8003,306-827,대전광역시 대덕구 중리동 362-1번지,대전광역시 대덕구 중리서로 83  (중리동),,럭키스포츠수영장,237876.5758,318471.9661,,
73,3,폐업,3,폐업,2008-07-09,,,464-1410,601-812,부산광역시 동구 수정동 228-12번지 228-13,"부산광역시 동구 중앙대로389번길 15  (수정동,228-13)",,백화수영장,386699.5923,183163.7914,,
74,3,폐업,3,폐업,2017-09-25,,,,,부산광역시 동구 초량동 1185-1번지,,,부산항 시민 해수온천 수영장,386181.0334,181144.2215,,
75,3,폐업,3,폐업,2018-08-20,,,051-999-3000,,부산광역시 동구 초량동 1185-1번지,,,부산항 시민 해수온천 수영장,386181.0334,181144.2215,,
76,3,폐업,3,폐업,2016-05-04,,,,745-801,경상북도 문경시 문경읍 상초리 355-0002번지,,,문경시 야외수영장,295844.7927,362620.2378,,
77,3,폐업,3,폐업,2018-08-26,,,054-572-6854,,경상북도 문경시 가은읍 왕능리 480번지,경상북도 문경시 가은읍 왕능길 114,36995,에코랄라 워터랜드,294668.1955,350925.5534,,
78,3,폐업,3,폐업,2014-09-11,,,,627-162,경상남도 밀양시 활성동 464-17번지,경상남도 밀양시 활성로 42-1 (활성동),,강마을야외수영장(1),361626.0947,223061.0471,,
79,3,폐업,3,폐업,2012-11-16,,,055-330-9000,621-831,562-12번지,경상남도 김해시 장유면 대청로104번길 84,621-831,장유아쿠아웨이브,364528.7217,189118.4948,,
80,3,폐업,3,폐업,2016-02-18,,,334-5757,621-903,경상남도 김해시 내동 1117-1번지 경보스포츠프라자 1601호,"경상남도 김해시 내외로77번길 12,  1601호 (내동,경보스포츠프라자)",,경보수영장,369800.7927,194528.6523,,
81,3,폐업,3,폐업,2009-03-31,,,,621-831,79-3번지,경상남도 김해시 장유면 능동로 27,,워터랜드,363535.8392,190085.0582,,
82,3,폐업,3,폐업,2006-07-30,,,041-741-9440,320-836,충청남도 논산시 연무읍 양지리 537-9번지,충청남도 논산시 연무읍 감바위로 44-13,,조이랜드,211403.6875,291252.8077,,
83,3,폐업,3,폐업,2004-10-07,,,554-6565,330-140,충청남도 천안시 동남구 유량동 50번지 외1필지,,,월드스포츠타운,216750.3583,368794.345,,
84,3,폐업,3,폐업,2003-04-10,,,554-3460,330-270,충청남도 천안시 동남구 청당동 5-21번지,,,청수수영장,,,,
85,3,폐업,3,폐업,2024-04-03,,,"554-5566,559-5306",,충청남도 천안시 동남구 신부동 53-2,충청남도 천안시 동남구 천안대로 802 (신부동),31067,주식회사 홍익스포츠,214689.3471,368672.6792,,
86,3,폐업,3,폐업,2011-07-29,,,,330-180,충청남도 천안시 동남구 안서동 211번지 3층,"충청남도 천안시 동남구 성불사길 36  (안서동,3층)",,(주) 태  경,216807.3073,369696.3534,,
87,3,폐업,3,폐업,2012-01-12,,,620-7763,330-842,충청남도 천안시 동남구 목천읍 교촌리 246-1번지,,,국립중앙청소년수련원수영장,,,,
88,3,폐업,3,폐업,2004-07-05,,,363-3327,343-812,충청남도 당진시 신평면 금천리 1009-1번지,충청남도 당진시 신평면 말목길 22-33,,신평관광농원 실내수영장,178763.6674,376072.549,,
89,3,폐업,3,폐업,2011-01-06,,,,343-812,충청남도 당진시 신평면 금천리 1009-1번지,충청남도 당진시 신평면 말목길 22-33,,신평관광농원 실내수영장,178763.6674,376072.549,,
90,3,폐업,3,폐업,2015-07-10,,,,343-814,충청남도 당진시 신평면 부수리 227-28번지,충청남도 당진시 신평면 맷돌포길 55-34,,(주)행담랜드 해수피아내,183342.8953,378905.6463,,
91,3,폐업,3,폐업,2015-01-23,,,877-4855,480-849,경기도 의정부시 의정부동 560번지,경기도 의정부시 신흥로207번길 27 (의정부동),480-849,믿음신협,203623.564,470231.3519,,
92,3,폐업,3,폐업,2020-07-07,,,031 877 0881,,경기도 의정부시 의정부동 560,"경기도 의정부시 신흥로207번길 27, 지층 (의정부동, 믿음신협협동조합)",11653,우리동네 스포츠센터,203623.564,470231.3519,,
93,3,폐업,3,폐업,2010-03-25,,,472-8102,430-850,경기도 안양시 만안구 석수동 241-43번지,경기도 안양시 만안구 예술공원로 213  (석수동),,블루몬테수영장,,,,
94,3,폐업,3,폐업,2008-09-10,,,380-5555,431-812,경기도 안양시 동안구 호계동 1040-1번지,경기도 안양시 동안구 시민대로 182  (호계동),,락시웰리스센터(수영장),,,,
95,3,폐업,3,폐업,2018-12-18,,,031-386-3800,,경기도 안양시 동안구 비산동 379-3번지,"경기도 안양시 동안구 관악대로 183 (비산동, 동양월드타워)",13920,도도 스포츠센터,,,,
96,3,폐업,3,폐업,2020-11-01,,,441-4310,430-842,"경기도 안양시 만안구 안양동 900-10 롯데프라자 6층,7층동",경기도 안양시 만안구 안양로329번길 108 (안양동),14005,롯데프라자스포츠쎈터,,,,
97,3,폐업,3,폐업,2020-09-21,,,474-5555,430-040,"경기도 안양시 만안구 석수동 825-1 지하 2층, 3층","경기도 안양시 만안구 예술공원로 153-32, 지하2, 3층 (석수동)",13911,안양워터랜드,,,,
98,3,폐업,3,폐업,2009-03-13,,,,431-812,경기도 안양시 동안구 호계동 1040-1번지 12층,"경기도 안양시 동안구 시민대로 182  (호계동,12층)",,PG스포츠센타,,,,
99,3,폐업,3,폐업,2010-09-01,,,473-2500,430-850,경기도 안양시 만안구 석수동 241-43번지,경기도 안양시 만안구 예술공원로 213  (석수동),,블루몬테 야외수영장,,,,
100,3,폐업,3,폐업,2007-04-27,,,,431-797,"경기도 안양시 동안구 평촌동 900번지 2,3호",,,세이프원,196377.3233,431369.2346,,
101,3,폐업,3,폐업,2008-08-28,,,405-0641,606-080,부산광역시 영도구 동삼동 산 19-3번지,,,곤포가든,389684.5762,175235.7909,,
102,3,폐업,3,폐업,2010-09-13,,,051-405-5224,606-081,부산광역시 영도구 동삼동 산 149-4번지,,,함지골청소년수련관,387295.1498,177058.7309,,
103,3,폐업,3,폐업,2008-08-06,,,430-3032,740-833,경상북도 김천시 어모면 중왕리 472-22번지,,,아천관광농원수영장,301176.7529,298269.1305,,
104,3,폐업,3,폐업,2021-01-05,,,054-773-1009,,경상북도 경주시 북군동 116,경상북도 경주시 보문로 280-34 (북군동),38117,드림스포츠센터,405480.0915,263741.0386,,
105,3,폐업,3,폐업,2013-10-23,,,054-748-7900,780-130,경상북도 경주시 황성동 432번지,경상북도 경주시 용담로 79-41 (황성동),780-130,주)경도일보,399644.886,264646.649,,
106,3,폐업,3,폐업,2019-07-02,,,,780-410,경상북도 경주시 마동 111-1번지,경상북도 경주시 불국로 289-17 (마동),,코오롱엘에스아이(주) 코오롱호텔 실외수영장,409841.9888,256679.7988,,
107,3,폐업,3,폐업,2014-04-30,,,054-774-6211,780-955,경상북도 경주시 황성동 507-2번지,경상북도 경주시 황성로 35-5 (황성동),,대산스포츠센타수영장,399947.1902,265205.5473,,
108,3,폐업,3,폐업,2006-11-30,,,054-742-8785,780-933,경상북도 경주시 동천동 904번지,경상북도 경주시 초당길137번길 20  (동천동),,코리아스포츠프라자수영장,401473.1361,263181.8794,,
109,3,폐업,3,폐업,2021-12-28,,,054-745-8060,,경상북도 경주시 북군동 30-3,경상북도 경주시 보문로 182-27 (북군동),38116,한화호텔&리조트(주)홍원기,404996.639,264534.0141,,
110,3,폐업,3,폐업,2006-11-14,,,054-748-8400,780-280,경상북도 경주시 북군동 11-1번지,경상북도 경주시 보문로 182-29  (북군동),,하일라 실외수영장,404841.7981,264595.7231,,
111,3,폐업,3,폐업,2021-12-28,,,054-745-8060,,경상북도 경주시 북군동 30-3,경상북도 경주시 보문로 182-27 (북군동),38116,한화호텔&리조트(주)스프링돔(실내.외),404996.639,264534.0141,,
112,3,폐업,3,폐업,2019-10-16,,,054-778-8356,780-290,경상북도 경주시 신평동 400-1번지 대명리조트 지하 1층,"경상북도 경주시 보문로 402-12 (신평동,대명리조트 지하 1층)",,(주)대명호텔앤리조트 경주지점,406118.3233,263079.4194,,
113,3,폐업,3,폐업,2012-11-05,,,833-1450,664-220,경상남도 사천시 향촌동 924-4번지,경상남도 사천시 신항로 78  (향촌동),,킹카당구장,299123.2183,160066.3452,,
114,3,폐업,3,폐업,2004-12-02,,,852-7221,664-932,경상남도 사천시 정동면 고읍리 438-62번지,경상남도 사천시 정동면 정동중앙로 7-17,,크리스탈수영장,299034.817,176074.2913,,
115,3,폐업,3,폐업,2018-07-20,,,055-854-2225,,경상남도 사천시 사남면 계양리 383-5번지,경상남도 사천시 사남면 삼상로 832,52536,진분계실외수영장,303397.1159,164957.5291,,
116,3,폐업,3,폐업,2013-03-18,,,682-4040,656-910,경상남도 거제시 장승포동 490번지,경상남도 거제시 능포로 52  (장승포동),,장승포레포츠타운,357840.076,153676.2481,,
117,3,폐업,3,폐업,2015-04-14,,,682-1113,656-903,경상남도 거제시 아주동 746-1번지,경상남도 거제시 거제대로 3567 (아주동),656-903,(주)웰리브,354699.31,154419.1113,,
118,3,폐업,3,폐업,2012-07-26,,,055-682-1986,656-910,경상남도 거제시 장승포동 424-3번지,,,거제아트센터수영장,,,,
119,3,폐업,3,폐업,2021-10-20,,,055-638-0510,,경상남도 거제시 수월동 1043-110,"경상남도 거제시 수양로 456-7, 지하1층 (수월동)",53237,찬스아이수영장,349874.7266,156163.8558,,
120,3,폐업,3,폐업,2020-06-16,,,,,,"경상남도 거제시 계룡로9길 21-2 (고현동, 신원 아침의도시)",53257,신원아침도시 수영장,348082.7256,154584.5551,,
121,3,폐업,3,폐업,2006-03-13,,,370-3036,626-863,경상남도 양산시 하북면 순지리 산 10-1번지,경상남도 양산시 하북면 통도7길 68,,통도환타지아수영장,389213.0744,224065.8924,,
122,3,폐업,3,폐업,2005-04-11,,,362-1127.362-1128,626-842,경상남도 양산시 덕계동 718-45번지,경상남도 양산시 덕계로 105  (덕계동),,코리아아쿠아틱,395638.9223,210738.2688,,
123,3,폐업,3,폐업,2011-11-09,,,055-640-5575,650-070,경상남도 통영시 동호동 230-1번지,경상남도 통영시 남망공원길 29  (동호동),,통영실내수영장,330679.6735,150104.7111,,
124,3,폐업,3,폐업,2022-11-21,,,055-649-3804~5,,경상남도 통영시 동호동 230-1 통영실내수영장,경상남도 통영시 남망공원길 29 (동호동),53051,통영실내수영장,330679.6735,150104.7111,,
125,3,폐업,3,폐업,2015-05-18,,,742-5535,660-905,경상남도 진주시 신안동 27-13번지,경상남도 진주시 남강로 491 (신안동),,남도레포츠타운수영장,297685.7911,187526.9177,,
126,3,폐업,3,폐업,2018-11-01,,,742-4111,690-724,제주특별자치도 제주시 연동 291-30번지,제주특별자치도 제주시 삼무로 67 (연동),63125,(주)지앤엘 더호텔제주수영장,152899.0596,-582.2226852,,
127,3,폐업,3,폐업,2022-04-21,,,720-6610,690-829,제주특별자치도 제주시 이도일동 1691-9,제주특별자치도 제주시 중앙로 151 (이도일동),690-829,주식회사 칼호텔네크워크 실내수영장,155964.6896,1148.519685,,
128,3,폐업,3,폐업,2011-05-09,,,723-1021,690-801,제주특별자치도 제주시 건입동 1441번지,제주특별자치도 제주시 중앙로 13  (건입동),,워터피아수영장,155857.9127,2386.913497,,
129,3,폐업,3,폐업,2006-03-24,,,759-5100,690-831,제주특별자치도 제주시 일도이동 113-7번지,제주특별자치도 제주시 남광로 181  (일도이동),,하늘수영장,158209.8979,805.5347619,,
130,3,폐업,3,폐업,2015-11-30,,,722-2626,690-831,제주특별자치도 제주시 일도이동 113-7번지 대유대림 401호,제주특별자치도 제주시 남광로 187 (일도이동),63262,제주아쿠아스포츠센타,158209.8979,805.5347619,,
131,3,폐업,3,폐업,2014-09-22,,,064-797-6000,690-762,제주특별자치도 제주시 노형동 1295-16번지,제주특별자치도 제주시 도령로 27 (노형동),690-762,네이버후드수영장,151768.3768,-832.6645401,,
132,3,폐업,3,폐업,2023-03-06,,,727-9090,690-826,제주특별자치도 제주시 이도이동 1028-16,제주특별자치도 제주시 구남로 55 (이도이동),63222,미래수영장,156751.5202,-449.6998098,,
